Age,Degree,Major,Edu,Skills
22,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",java   Html 
25,Postgraduate,Data Science,"Postgraduate,Data Science",java   Html photoshop
24,Undergraduate,Design Skills,"Undergraduate,Design Skills",java   Html photoshop
22,Postgraduate,Network System,"Postgraduate,Network System",    photoshop
24,Postgraduate,IT Management,"Postgraduate,IT Management",java   Html 
23,Undergraduate,Data Science,"Undergraduate,Data Science",   Html 
21,Undergraduate,Data Science,"Undergraduate,Data Science",java   Html photoshop
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",java   Html photoshop
22,Postgraduate,IT Security,"Postgraduate,IT Security",   Html photoshop
25,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",java   Html photoshop
23,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",  PHP Html photoshop
22,Undergraduate,IT Management,"Undergraduate,IT Management",java    photoshop
23,Undergraduate,Data Science,"Undergraduate,Data Science",java   Html photoshop
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html photoshop
25,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",java   Html photoshop
23,Postgraduate,IT Management,"Postgraduate,IT Management",   Html 
25,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",    photoshop
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",java  PHP Html photoshop
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html photoshop
24,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",   Html photoshop
